Solver:   GLPSOL 4.0 (options used: --simplex --presol)
Computer: Intel Pentium 4, 1.5 GHz, L2 256K, Chipset i850
Platform: Debian GNU/Linux 2.2
Compiler: GCC 2.95.2 (options used: -O3)
Test set: Netlib LP collection <ftp://ftp.netlib.org/lp/data/>

Problem    Rows   Cols   Nonz       Optimum        Iters  Time,s  Mem,MB
--------  -----  -----  ------  ----------------  ------  ------  ------
25fv47      822   1571   11127  +5.501845888e+03    1385       2     1.8
80bau3b    2263   9799   29063  +9.872241924e+05    5417      10     6.2
adlittle     57     97     465  +2.254949632e+05      71       -     0.1   
afiro        28     32      88  -4.647531429e+02      13       -     0.1
agg         489    163    2541  -3.599176729e+07      93       -     0.5
agg2        517    302    4515  -2.023925236e+07     182       -     0.7
agg3        517    302    4531  +1.031211594e+07     171       -     0.7
bandm       306    472    2659  -1.586280185e+02     216       -     0.5
beaconfd    174    262    3476  +3.359248581e+04      76       -     0.4
blend        75     83     521  -3.081214985e+01      69       -     0.1
bnl1        644   1175    6129  +1.977629562e+03     630       -     1.2
bnl2       2325   3489   16124  +1.811236540e+03    1723       3     3.6
boeing1     351    384    3865  -3.352135675e+02     476       -     0.6
boeing2     167    143    1339  -3.150187280e+02     136       -     0.2
bore3d      234    315    1525  +1.373080394e+03      32       -     0.3
brandy      221    249    2150  +1.518509896e+03     166       -     0.4
capri       272    353    1786  +2.690012914e+03     220       -     0.4
cycle      1904   2857   21322  -5.226393025e+00     703       -     3.2
czprob      930   3523   14173  +2.185196699e+06     822       -     2.6
d2q06c     2172   5167   35674  +1.227842108e+05    5478      18     5.9
d6cube      416   6184   43888  +3.154916667e+02    5564      14     5.4
degen2      445    534    4449  -1.435178000e+03     471       -     0.8
degen3     1504   1818   26230  -9.872940000e+02    1604       3     3.9
dfl001     6072  12230   41873  +1.126639605e+07   46120     405     9.8
e226        224    282    2767  -2.586492907e+01     221       -     0.5
etamacro    401    688    2489  -7.557152333e+02     428       -     0.6
fffff800    525    854    6235  +5.556795648e+05     164       -     1.0
finnis      498    614    2714  +1.727910656e+05     309       -     0.6
fit1d        25   1026   14430  -9.146378092e+03     510       -     1.6
fit1p       628   1677   10894  +9.146378092e+03     376       -     1.7
fit2d        26  10500  138018  -6.846429329e+04    6365      47    14.2
fit2p      3001  13525   60784  +6.846429329e+04    6886      26    10.3
forplan     162    421    4916  -6.642189613e+02     149       -     0.6
ganges     1310   1681    7021  -1.095857361e+05     452       -     1.8
gfrd-pnc    617   1092    3467  +6.902236000e+06     480       -     0.9
greenbea   2393   5405   31499  -7.255524813e+07    3794       9     5.2
greenbeb   2393   5405   31499  -4.302260261e+06    2815       7     5.2
grow15      301    645    5665  -1.068709413e+08     354       -     0.9
grow22      441    946    8318  -1.608343365e+08     582       -     1.6
grow7       141    301    2633  -4.778781181e+07     149       -     0.4
israel      175    142    2358  -8.966448219e+05     147       -     0.4
kb2          44     41     291  -1.749900130e+03      35       -     0.1
lotfi       154    308    1086  -2.526470606e+01     119       -     0.3
maros       847   1443   10006  -5.806374370e+04     746       -     1.6
maros-r7   3137   9408  151120  +1.497185166e+06    2578      15    17.1
modszk1     688   1620    4158  +3.206197291e+02     530       -     1.2
nesm        663   2923   13988  +1.407603649e+07    2576       2     2.3
perold      626   1376    6026  -9.380755278e+03    1021       -     1.4
pilot      1442   3652   43220  -5.574831533e+02    3835      19     7.6
pilot-ja    941   1988   14706  -6.113136466e+03    1633       2     2.4
pilot-we    723   2789    9218  -2.720107533e+06    1290       2     2.0
pilot4      411   1000    5145  -2.581139259e+03     515       -     1.1
pilot87    2031   4883   73804  +3.017103744e+02    6264      65    11.5
pilotnov    976   2172   13129  -4.497276188e+03     855       2     2.5
qap12      3193   8856   44244  +5.228943506E+02   29553     503    13.3
qap15      6331  22275  110700  +1.040994041e+03  157641   15292    40.4
recipe       92    180     752  -2.666160000e+02      24       -     0.2
sc105       106    103     281  -5.220206121e+01      51       -     0.2
sc205       206    203     552  -5.220206121e+01     125       -     0.3
sc50a        51     48     131  -6.457507706e+01      27       -     0.1
sc50b        51     48     119  -7.000000000e+01      29       -     0.1
scagr25     472    500    2029  -1.475343306e+07     480       -     0.6
scagr7      130    140     553  -2.331389824e+06      89       -     0.2
scfxm1      331    457    2612  +1.841675903e+04     257       -     0.6
scfxm2      661    914    5229  +3.666026156e+04     524       -     1.1
scfxm3      991   1371    7846  +5.490125455e+04     810       -     1.6
scorpion    389    358    1708  +1.878124823e+03     131       -     0.4
scrs8       491   1169    4029  +9.042969538e+02     474       -     1.0
scsd1        78    760    3148  +8.666666674e+00     133       -     0.5
scsd6       148   1350    5666  +5.050000008e+01     308       -     0.9
scsd8       398   2750   11334  +9.049999999e+02     853       -     1.8
sctap1      301    480    2052  +1.412250000e+03     171       -     0.5
sctap2     1091   1880    8124  +1.724807143e+03     491       -     1.7
sctap3     1481   2480   10734  +1.424000000e+03     753       -     2.2
seba        516   1028    4874  +1.571160000e+04     265       -     1.0
share1b     118    225    1182  -7.658931858e+04     137       -     0.3
share2b      97     79     730  -4.157322407e+02      87       -     0.2
shell       537   1775    4900  +1.208825346e+09     298       -     1.2
ship04l     403   2118    8450  +1.793324538e+06     388       -     1.6
ship04s     403   1458    5810  +1.798714700e+06     296       -     1.1
ship08l     779   4283   17085  +1.909055211e+06     633       -     2.9
ship08s     779   2387    9501  +1.920098211e+06     338       -     1.6
ship12l    1152   5427   21597  +1.470187919e+06     671       -     3.7
ship12s    1152   2763   10941  +1.489236134e+06     390       -     2.0
sierra     1228   2036    9252  +1.539436218e+07     528       -     2.1
stair       357    467    3857  -2.512669512e+02     291       -     0.9
standata    360   1075    3038  +1.257699500e+03     139       -     0.7
standgub    362   1184    3147  +1.257699500e+03     139       -     0.8
standmps    468   1075    3686  +1.406017500e+03     239       -     0.9
stocfor1    118    111     474  -4.113197622e+04      31       -     0.1
stocfor2   2158   2031    9492  -3.902440854e+04     640       -     2.4
stocfor3  16676  15695   74004  -3.997678394e+04    4833      34    18.7
truss      1001   8806   36642  +4.588158472e+05    3706       9     6.3
tuff        334    587    4523  +2.921477651e-01      83       -     0.7
vtp-base    199    203     914  +1.298314625e+05      31       -     0.2
wood1p      245   2594   70216  +1.442902412e+00     331       -     6.5
woodw      1099   8405   37478  +1.304476333e+00    1073       -     5.9
